,x_pos,y_pos,x_val,y_val,id
86,0,3,23.0,0.9974286381840599,15
87,0,3,24.0,0.9952315820043662,15
88,0,3,25.0,0.9915424895270959,15
89,0,3,26.0,0.9856448113909926,15
90,0,3,27.0,0.9766679206898354,15
91,0,3,28.0,0.9636586086240105,15
92,0,3,29.0,0.9457085277840456,15
93,0,3,30.0,0.9221275229555749,15
94,0,3,31.0,0.892632947844495,15
95,0,3,32.0,0.8575087822164036,15
96,0,3,33.0,0.8176839459349237,15
97,0,3,34.0,0.7746920946634694,15
98,0,3,35.0,0.7305042832140197,15
99,0,3,36.0,0.6872625545248934,15
100,0,3,37.0,0.6469734324995218,15
101,0,3,38.0,0.6112332530186573,15
102,0,3,39.0,0.5810469607315579,15
103,0,3,40.0,0.5567726525246044,15
104,0,3,41.0,0.5381874241600576,15
105,0,3,42.0,0.5246394993397004,15
106,0,3,43.0,0.5152366093600578,15
107,1,0,12.0,0.9707634548142439,1
108,1,0,13.0,0.9662360012252851,1
109,1,0,14.0,0.9611849321695427,1
110,1,0,15.0,0.9555798426425511,1
111,1,0,16.0,0.9493932467307038,1
112,1,0,17.0,0.9426013527883181,1
113,1,0,18.0,0.9351848359011043,1
114,1,0,19.0,0.9271295857226587,1
115,1,0,20.0,0.9184274064586313,1
116,1,0,21.0,0.9090766452439539,1
117,1,0,22.0,0.8990827255072071,1
118,1,0,23.0,0.8884585632027314,1
119,1,0,24.0,0.8772248460334968,1
120,1,0,25.0,0.8654101589580105,1
121,1,0,26.0,0.8530509432966152,1
122,1,0,27.0,0.8401912815032835,1
123,1,0,28.0,0.8268825049820071,1
124,1,0,29.0,0.8131826279989658,1
125,1,0,30.0,0.7991556165422417,1
126,1,0,31.0,0.7848705066630344,1
127,1,0,32.0,0.7704003921458115,1
128,1,0,33.0,0.7558213060591369,1
129,1,0,34.0,0.7412110246168263,1
130,1,0,35.0,0.72664782464872,1
131,1,0,36.0,0.7122092277057104,1
132,1,0,37.0,0.6979707643223575,1
